time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],vertCoord[unit="m"],salinity[unit="psu"],water_temp[unit="degC"]
2021-03-08T12:00:00Z,72.3642,-150.4196,0.0,10072.0,-21623.0
2021-03-08T12:00:00Z,72.3642,-150.4196,2.0,10072.0,-21621.0
2021-03-08T12:00:00Z,72.3642,-150.4196,4.0,10072.0,-21620.0
2021-03-08T12:00:00Z,72.3642,-150.4196,6.0,10072.0,-21620.0
2021-03-08T12:00:00Z,72.3642,-150.4196,8.0,10072.0,-21620.0
2021-03-08T12:00:00Z,72.3642,-150.4196,10.0,10072.0,-21620.0
2021-03-08T12:00:00Z,72.3642,-150.4196,12.0,10073.0,-21619.0
2021-03-08T12:00:00Z,72.3642,-150.4196,15.0,10073.0,-21619.0
2021-03-08T12:00:00Z,72.3642,-150.4196,20.0,10075.0,-21617.0
2021-03-08T12:00:00Z,72.3642,-150.4196,25.0,10079.0,-21609.0
2021-03-08T12:00:00Z,72.3642,-150.4196,30.0,10202.0,-21357.0
2021-03-08T12:00:00Z,72.3642,-150.4196,35.0,10480.0,-20903.0
2021-03-08T12:00:00Z,72.3642,-150.4196,40.0,10831.0,-20547.0
2021-03-08T12:00:00Z,72.3642,-150.4196,45.0,10979.0,-20564.0
2021-03-08T12:00:00Z,72.3642,-150.4196,50.0,11098.0,-20613.0
2021-03-08T12:00:00Z,72.3642,-150.4196,60.0,11343.0,-20739.0
2021-03-08T12:00:00Z,72.3642,-150.4196,70.0,11581.0,-20815.0
2021-03-08T12:00:00Z,72.3642,-150.4196,80.0,11812.0,-20865.0
2021-03-08T12:00:00Z,72.3642,-150.4196,90.0,12030.0,-20912.0
2021-03-08T12:00:00Z,72.3642,-150.4196,100.0,12230.0,-20968.0
2021-03-08T12:00:00Z,72.3642,-150.4196,125.0,12662.0,-21102.0
2021-03-08T12:00:00Z,72.3642,-150.4196,150.0,13043.0,-21080.0
2021-03-08T12:00:00Z,72.3642,-150.4196,200.0,13725.0,-20789.0
2021-03-08T12:00:00Z,72.3642,-150.4196,250.0,14226.0,-20363.0
2021-03-08T12:00:00Z,72.3642,-150.4196,300.0,14521.0,-20129.0
2021-03-08T12:00:00Z,72.3642,-150.4196,350.0,14685.0,-19856.0
2021-03-08T12:00:00Z,72.3642,-150.4196,400.0,14761.0,-19620.0
2021-03-08T12:00:00Z,72.3642,-150.4196,500.0,14813.0,-19529.0
2021-03-08T12:00:00Z,72.3642,-150.4196,600.0,14830.0,-19584.0
2021-03-08T12:00:00Z,72.3642,-150.4196,700.0,14837.0,-19694.0
2021-03-08T12:00:00Z,72.3642,-150.4196,800.0,14844.0,-19800.0
2021-03-08T12:00:00Z,72.3642,-150.4196,900.0,14855.0,-19889.0
2021-03-08T12:00:00Z,72.3642,-150.4196,1000.0,14865.0,-19969.0
2021-03-08T12:00:00Z,72.3642,-150.4196,1250.0,14891.0,-20107.0
2021-03-08T12:00:00Z,72.3642,-150.4196,1500.0,14918.0,-20181.0
2021-03-08T12:00:00Z,72.3642,-150.4196,2000.0,14942.0,-20286.0
2021-03-08T12:00:00Z,72.3642,-150.4196,2500.0,14950.0,-20343.0
2021-03-08T12:00:00Z,72.3642,-150.4196,3000.0,14955.0,-20319.0
2021-03-08T12:00:00Z,72.3642,-150.4196,4000.0,-30000.0,-30000.0
2021-03-08T12:00:00Z,72.3642,-150.4196,5000.0,-30000.0,-30000.0
